name;description;code;user_id;supplier_id;category_id
Lapiceras;;416;1.0;1.0;3
Lapiceras ;;417;1.0;1.0;3
Lava Ojo;;418;1.0;1.0;3
Lave 13;;419;1.0;1.0;3
Lave 25;;420;1.0;1.0;3
Lave 27;;421;1.0;1.0;3
Lb 84 Lubricante Para Cadena  En Aerosol;;422;1.0;1.0;3
Leche X Pack;;423;1.0;1.0;3
LeÇña;;424;1.0;1.0;3
LeÇña ;;425;1.0;1.0;3
Libretas;;426;1.0;1.0;3
Libretas Para Realizar Chek Lis Vehiculos;;427;1.0;1.0;3
Libro De Acta;;428;1.0;1.0;3
Libro De Acta Ambiental;;429;1.0;1.0;3
Linterna Led ;;430;1.0;1.0;3
Llave 10;;431;1.0;1.0;3
Llave 11;;432;1.0;1.0;3
Llave 12;;433;1.0;1.0;3
Llave 14;;434;1.0;1.0;3
Llave 15;;435;1.0;1.0;3
Llave 19;;436;1.0;1.0;3
Llave 20;;437;1.0;1.0;3
Llave 22;;438;1.0;1.0;3
Llave 23;;439;1.0;1.0;3
Llave 24;;440;1.0;1.0;3
Llave 26;;441;1.0;1.0;3
Llave 30;;442;1.0;1.0;3
Llave 32;;443;1.0;1.0;3
Llave 36 Stiloson;;444;1.0;1.0;3
"Llave De 2 "" Con Niple Y Acople Macho";;445;1.0;1.0;3
Llave De Palmalive;;446;1.0;1.0;3
Llave De Pie Stilson 48;;447;1.0;1.0;3
Llaves Parmalip Nq ;;448;1.0;1.0;3
Luces De Emergencia Led 60;;449;1.0;1.0;3
Luces De Emergencias;;450;1.0;1.0;3
Luminaria;;451;1.0;1.0;3
Macho Hq;;452;1.0;1.0;3
Malla Naranja;;453;1.0;1.0;3
Mameluco Anti Desgarro (Raul);;454;1.0;1.0;3
Mameluco Descartable;;455;1.0;1.0;3
Mameluco Tela Antidesgarro Xxxl (Horacio Romero);;456;1.0;1.0;3
Mameluco Tela Antidesgarro Xxxl (Orlando Luna);;457;1.0;1.0;3
Mameluco Tela Antidesgarro Xxxl (Osvaldo Requelme);;458;1.0;1.0;3
Mameluco Termico Zonza Xl (Calpanchay);;459;1.0;1.0;3
Mameluco TÇ¸rmico ( Para Osvaldo);;460;1.0;1.0;3
Mamelucos Descartables ;;461;1.0;1.0;3
Mamelucos Descartables X 25 Xl;;462;1.0;1.0;3
Mamelucos Descartables Xl;;463;1.0;1.0;3
Mamelucos Descartables Xl X 25;;464;1.0;1.0;3
Mamelucos Descartables Xxl;;465;1.0;1.0;3
Mamelucos Descartables Xxl X 25 Unid;;466;1.0;1.0;3
Mamelucos Descartables Xxxl;;467;1.0;1.0;3
Mamelucos Descartables Xxxl X 25 Unid;;468;1.0;1.0;3
Mango De Fuerza Con Cricket  3/4;;469;1.0;1.0;3
Manguera De 1/2  De 2 M Aproximadamente ;;470;1.0;1.0;3
"Manguera De 10 M De 1""";;471;1.0;1.0;3
Manguera De 2¶ù Con Acople;;472;1.0;1.0;3
"Manguera De 4 M De 1""";;473;1.0;1.0;3
"Manguera De 6 M De 1""";;474;1.0;1.0;3
Manguera De Cabeza Inyectora Lf70;;475;1.0;1.0;3
Manguera De Mixer Lf70;;476;1.0;1.0;3
Manguera Para Engrase 1/4;;477;1.0;1.0;3
Manguera Para La Copa;;478;1.0;1.0;3
"Manguera Tranparente De 1/2"" X 2,5M";;479;1.0;1.0;3
Manguera X 10 Mts;;480;1.0;1.0;3
"Mangueras De 2 """;;481;1.0;1.0;3
Manipulador De Lainas ;;482;1.0;1.0;3
Manometro 3500 Psi;;483;1.0;1.0;3
Manometro 5000 Psi;;484;1.0;1.0;3
Manteca De Cacao;;485;1.0;1.0;3
Maquina Prensa Manguera Completa ;;486;1.0;1.0;3
Marcador Permanente X 12;;487;1.0;1.0;3
Marcadores Negros  X 12 Uni;;488;1.0;1.0;3
Marcadores Permanentes;;489;1.0;1.0;3
Martillo Bolita;;490;1.0;1.0;3
Martillo De Goma;;491;1.0;1.0;3
Masa X 5 Kg;;492;1.0;1.0;3
Mascara Facial Con Cremallera;;493;1.0;1.0;3
Mascara Para Soldar;;494;1.0;1.0;3
Mascarilla Para Polvo 1501 X 50 Unidades;;495;1.0;1.0;3
Matafuego D 10Kg;;496;1.0;1.0;3
Matafuego X 10 Kg;;497;1.0;1.0;3
Matafuegos De 10 Kg;;498;1.0;1.0;3
Mate X Caja;;499;1.0;1.0;3
Maza 5Kg;;500;1.0;1.0;3
Medicamentos Para Milton;;501;1.0;1.0;3
Medicametos Varios, Protector Solar 2, Manteca De Cacao 10;;502;1.0;1.0;3
Mesa De Oficina ;;503;1.0;1.0;3
Metegol;;504;1.0;1.0;3
Mezclador De Aditivos;;505;1.0;1.0;3
Mmelucos Antidesgarros;;506;1.0;1.0;3
Mochila Para Portar Computadora Portatil Nueva;;507;1.0;1.0;3
Morcilla X Kg;;508;1.0;1.0;3
Mordaza De Full Clan Hq;;509;1.0;1.0;3
Mordaza Nq;;510;1.0;1.0;3
Morza;;511;1.0;1.0;3
Motobomba;;512;1.0;1.0;3
"Motobomba 2""";;513;1.0;1.0;3
"Motobomba 3""";;514;1.0;1.0;3
Motobomba De 2 Pulgadas;;515;1.0;1.0;3
"Motobomba De 2""";;516;1.0;1.0;3
